@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
70,'2019/05/26 17:42:31:065',4,509.250183,102.220795,54.557205,446.597015,85.80127,71.829506,426.854279,74.939819,74.331635,388.801636,72.451385,72.651649,336.526245,75.46994,67.975418,0,0,123.065613,7.41691,10.375882,11.027007,?,4000,?
71,'2019/05/26 17:42:31:122',4,509.383514,99.76004,54.412224,445.546356,86.084839,71.864761,426.067566,75.482025,74.406296,387.764465,72.817139,72.724228,335.588959,75.513031,68.014473,0,0,118.445892,7.260801,9.224827,10.800142,?,4000,?
72,'2019/05/26 17:42:31:172',4,509.391479,97.85556,54.380444,445.487488,84.936096,71.975876,426.324097,72.378998,74.390625,388.245117,70.25647,72.762909,335.94519,72.429413,68.031448,0,0,113.155525,8.596354,9.497663,10.988355,?,4000,?
73,'2019/05/26 17:42:31:228',4,510.08551,100.338287,54.555027,447.095978,85.345001,72.067696,427.288025,74.181519,74.595154,389.508392,72.410431,73.007614,336.993774,74.67981,68.316475,0,0,115.858887,8.136562,9.200664,11.302569,?,4000,?
74,'2019/05/26 17:42:31:284',4,509.871368,101.157684,54.540604,446.279938,84.822113,71.962547,426.067444,73.074493,74.454788,388.738647,72.061951,72.884369,336.328796,74.159332,68.166992,0,0,117.033295,8.427752,9.125738,11.096616,?,4000,?
75,'2019/05/26 17:42:31:342',4,509.145721,101.602753,54.498051,445.398895,84.265167,71.851402,425.486847,72.367188,74.321404,388.266724,74.467987,72.87989,335.811462,72.341431,67.943306,0,0,114.354095,9.617754,9.156625,10.941082,?,4000,?
76,'2019/05/26 17:42:31:396',4,509.631897,100.589783,54.463223,445.315308,84.084076,71.867508,425.245331,71.252136,74.275711,388.427032,75.352203,72.939987,335.349335,73.075043,67.999321,0,0,113.147369,8.476825,9.411479,10.966847,?,4000,?
77,'2019/05/26 17:42:31:451',4,509.787811,101.672485,54.676071,444.903259,83.884003,72.021408,425.093872,70.865936,74.361,388.491943,73.971771,72.977913,335.3367,72.851868,68.060814,0,0,113.761223,8.981486,10.557691,10.917243,?,4000,?
78,'2019/05/26 17:42:31:508',4,510.553864,99.993713,54.516254,445.022858,83.488708,71.997131,425.040405,70.399017,74.334457,388.589722,74.413177,72.997299,335.153015,72.410461,68.023216,0,0,110.626976,8.518462,10.646923,10.924633,?,4000,?
79,'2019/05/26 17:42:31:561',4,510.471313,100.392151,54.308369,445.834595,84.424866,71.86322,425.730927,73.550629,74.394638,389.379456,74.718231,72.915428,336.093475,72.520538,67.988197,0,0,110.001976,9.181966,9.605576,11.191744,?,4000,?
80,'2019/05/26 17:42:31:615',4,506.521423,117.427063,53.848518,442.007813,87.273407,71.443268,425.73819,75.061188,73.78656,391.656647,68.93692,71.894218,342.297211,62.996704,66.695938,0,0,110.841248,24.716785,11.280293,11.787872,?,4000,?
81,'2019/05/26 17:42:31:668',4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,4000,?
82,'2019/05/26 17:42:31:726',4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,4000,?
83,'2019/05/26 17:42:31:781',4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,4000,?
84,'2019/05/26 17:42:31:841',4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,4000,?
85,'2019/05/26 17:42:31:900',4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,4000,?
86,'2019/05/26 17:42:31:954',4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,4000,?
87,'2019/05/26 17:42:32:010',4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,4000,?
88,'2019/05/26 17:42:32:066',4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,4000,?
89,'2019/05/26 17:42:32:124',4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,4000,?
